year,Jan.temp,Feb.temp,Mar.temp,Apr.temp,May.temp,Jun.temp,Jul.temp,Aug.temp,Sep.temp,Jan.prcp,Feb.prcp,Mar.prcp,Apr.prcp,May.prcp,Jun.prcp,Jul.prcp,Aug.prcp,Sep.prcp,PApr.temp,PMay.temp,PJun.temp,PJul.temp,PAug.temp,PSep.temp,POct.temp,PNov.temp,PDec.temp,PApr.prcp,PMay.prcp,PJun.prcp,PJul.prcp,PAug.prcp,PSep.prcp,POct.prcp,PNov.prcp,PDec.prcp,X,Pfall.temp,Pfall.precip,winter.temp,winter.precip,gs.temp,gs.precip,Pgs.temp,Pgs.precip,sping.temp,spring.precip,Pspring.temp,Pspring.precip,annual.temp,annual.precip,Pfall.CMI,winter.CMI,gs.CMI,Pgs.CMI,sping.CMI,Pspring.CMI
1972,-34.79999924,-26.60000038,-26.60000038,-17.10000038,-2,5.700000286,12,8.199999809,2.299999952,11.40000057,11.5,1.300000072,4.300000191,6.900000095,10.69999981,31.10000038,35.90000153,14.69999981,-17.10000038,-2,5.700000286,12,8.199999809,2.299999952,-10.69999981,-30.39999962,-28.89999962,4.300000191,6.900000095,10.69999981,31.10000038,35.90000153,14.69999981,18.30000114,10.5,16.30000114,72,-12.10000014,51.40000057,-31.06666692,39.00000095,8.633333365,77.70000172,9.866666793,41.70000076,-15.23333359,12.50000036,-15.86666671,8.599999964,-12.40833328,172.9000047,1.251829044,1.300000032,-1.798361792,-3.92629034,0.269570004,0.217451192
1973,-38,-31.20000076,-30.30000114,-16.39999962,-4.599999905,9.800000191,11.90000057,7.400000095,0.699999988,8.300000191,3.600000143,1,2.400000095,2.700000048,4.099999905,59.20000076,39.40000153,18.89999962,-16.39999962,-4.599999905,9.800000191,11.90000057,7.400000095,0.699999988,-12,-23.5,-30.89999962,2.400000095,2.700000048,4.099999905,59.20000076,39.40000153,18.89999962,26.39999962,22.60000038,8.5,73,-12.93333316,43.50000095,-32.70000013,28.20000147,9.700000285,102.7000022,8.633333365,77.70000172,-17.10000022,6.100000143,-15.23333359,12.50000036,-13.09166668,197.1000023,1.011898698,0.940000049,-1.910124987,-1.798361792,0.185608187,0.269570004
1974,-33.79999924,-33.70000076,-24.89999962,-17.89999962,-4.099999905,9,12.90000057,10.40000057,2.799999952,5.5,6,2.400000095,0.699999988,2.700000048,18,31.20000076,14.19999981,20.70000076,-17.89999962,-4.099999905,9,12.90000057,10.40000057,2.799999952,-6.900000095,-25,-37.10000229,0.699999988,2.700000048,18,31.20000076,14.19999981,20.70000076,8.199999809,18,1.700000048,74,-11.6,67.89999962,-32.79999987,20,10.76666705,63.40000057,9.700000285,102.7000022,-15.63333305,5.800000131,-17.10000022,6.100000143,-12.35833337,129.3000013,1.949741777,0.666666667,-3.624656571,-1.910124987,0.154993098,0.185608187
1975,-35.79999924,-28.30000114,-26.30000114,-17.89999962,-4.300000191,6.599999905,10.80000019,9.400000572,1.300000072,8.400000572,9.699999809,5.800000191,6.099999905,3,15.80000019,30.60000038,37.79999924,16,-17.89999962,-4.300000191,6.599999905,10.80000019,9.400000572,1.300000072,-11.60000038,-24.30000114,-33.70000076,6.099999905,3,15.80000019,30.60000038,37.79999924,16,16.80000114,22,6.700000286,75,-9.700000048,46.90000057,-33.73333422,19.80000043,8.933333556,84.19999981,10.76666705,63.40000057,-16.16666698,14.9000001,-15.63333305,5.800000131,-12.84166691,178.7000017,1.103274487,0.660000014,-1.809345511,-3.624656571,0.465460462,0.154993098
1976,-30.39999962,-34.60000229,-28.70000076,-20.60000038,-5.5,7.300000191,11.19999981,9,3.200000048,13.69999981,5.800000191,3.900000095,4.900000095,3.299999952,32.70000076,32.10000229,17.10000038,14.80000019,-20.60000038,-5.5,7.300000191,11.19999981,9,3.200000048,-14.69999981,-27.30000114,-34.5,4.900000095,3.299999952,32.70000076,32.10000229,17.10000038,14.80000019,8.800000191,6.300000191,5.099999905,76,-11.53333382,54.80000114,-32.90000089,26.20000029,9.166666667,81.90000343,8.933333556,84.19999981,-18.26666705,12.10000014,-16.16666698,14.9000001,-13.80000033,148.5000041,1.443418842,0.873333343,-2.157968481,-1.809345511,0.403333338,0.465460462
1977,-28.5,-34.29999924,-32.20000076,-15.69999981,-3.700000048,9,12.69999981,10.40000057,3,14.69999981,8.900000572,1.5,5.400000095,8.199999809,21.10000038,16.30000114,46.5,51.29999924,-15.69999981,-3.700000048,9,12.69999981,10.40000057,3,-12.90000057,-28.39999962,-30.70000076,5.400000095,8.199999809,21.10000038,16.30000114,46.5,51.29999924,15.69999981,10.5,14.90000057,77,-12.93333363,29.90000057,-32.43333308,28.70000029,10.70000013,83.90000152,9.166666667,81.90000343,-17.20000021,15.0999999,-18.26666705,12.10000014,-12.60833337,215.0000014,0.458791002,0.956666676,-2.504435,-2.157968481,0.445577809,0.403333338
1978,-28.60000038,-34.70000076,-25,-18.10000038,-3,7,10.80000019,8.699999809,0.600000024,18.60000038,6.300000191,1.200000048,6.200000286,6.099999905,12,43.79999924,34.70000076,6.400000095,-18.10000038,-3,7,10.80000019,8.699999809,0.600000024,-10.69999981,-22.60000038,-34.70000076,6.200000286,6.099999905,12,43.79999924,34.70000076,6.400000095,11.40000057,9.199999809,7.700000286,78,-12.76666673,77.49999905,-31.33333397,39.80000114,8.833333333,90.5,10.70000013,83.90000152,-15.36666679,13.50000024,-17.20000021,15.0999999,-12.5250002,163.6000016,2.097426032,1.326666705,-1.165770065,-2.504435,0.358256323,0.445577809
1979,-28.60000038,-27.30000114,-27.39999962,-21.20000076,-2.5,7,9.800000191,6.900000095,-0.100000001,13.30000019,14.30000019,4.099999905,2.799999952,7.300000191,18.80000114,49.40000153,36,28.80000114,-21.20000076,-2.5,7,9.800000191,6.900000095,-0.100000001,-13.5,-27.30000114,-32.79999924,2.799999952,7.300000191,18.80000114,49.40000153,36,28.80000114,9.300000191,14.19999981,12.30000019,79,-10.90000006,27.00000047,-30.20000076,35.30000067,7.900000095,104.2000027,8.833333333,90.5,-17.03333346,14.20000005,-15.36666679,13.50000024,-13.0833335,210.6000044,0.593900137,1.176666689,-0.429005903,-1.165770065,0.343945988,0.358256323
1980,-28.20000076,-28.89999962,-26.5,-19.89999962,-4,8,10.10000038,9.100000381,3.100000143,7.5,13.19999981,3.900000095,1.100000024,2.200000048,28.20000076,48,17.60000038,6.700000286,-19.89999962,-4,8,10.10000038,9.100000381,3.100000143,-12.60000038,-30.5,-26.80000114,1.100000024,2.200000048,28.20000076,48,17.60000038,6.700000286,16.5,7.400000095,5.700000286,80,-13.63333371,52.30000114,-29.96666654,33,9.06666692,93.80000114,7.900000095,104.2000027,-16.79999987,7.200000167,-17.03333346,14.20000005,-12.25833338,158.0000018,1.491470964,1.1,-1.748183543,-0.429005903,0.195812261,0.343945988
1981,-30.60000038,-30.20000076,-25.5,-14.90000057,-1.5,9.100000381,10.69999981,8.800000191,1.899999976,10,6.099999905,5,5.900000095,6.700000286,23.89999962,51.40000153,22.80000114,19,-14.90000057,-1.5,9.100000381,10.69999981,8.800000191,1.899999976,-8.900000572,-23.70000076,-32.60000229,5.900000095,6.700000286,23.89999962,51.40000153,22.80000114,19,11.60000038,6.800000191,12.19999981,81,-13.33333341,30.60000038,-29.20000076,21.80000019,9.533333461,98.10000229,9.06666692,93.80000114,-13.96666686,17.60000038,-16.79999987,7.200000167,-11.45000041,181.400003,0.425451635,0.726666673,-1.873070891,-1.748183543,0.390398456,0.195812261
1982,-33.79999924,-27.10000038,-26.20000076,-17.70000076,-6.800000191,6.400000095,11.30000019,8.900000572,2.299999952,16.30000114,12.60000038,5.5,12.69999981,8.100000381,8.5,5,10.90000057,16,-17.70000076,-6.800000191,6.400000095,11.30000019,8.900000572,2.299999952,-10.30000019,-30.20000076,-31.5,12.69999981,8.100000381,8.5,5,10.90000057,16,16.5,14,13.5,82,-10.23333379,37.40000057,-31.1666673,41.10000133,8.866666952,24.40000057,9.533333461,98.10000229,-16.90000057,26.30000019,-13.96666686,17.60000038,-12.89166679,139.6000023,0.836542483,1.370000044,-3.830361817,-1.873070891,0.876666673,0.390398456
1983,-30.5,-31.39999962,-26.20000076,-19.10000038,-2.900000095,7,12.19999981,9.100000381,2.100000143,10,5,2,5.200000286,4.900000095,9.300000191,25.5,23,22.80000114,-19.10000038,-2.900000095,7,12.19999981,9.100000381,2.100000143,-15,-29.30000114,-26.80000114,5.200000286,4.900000095,9.300000191,25.5,23,22.80000114,13.60000038,6.599999905,28,83,-12.73333367,46.5,-31.13333321,28.5,9.433333397,57.80000019,8.866666952,24.40000057,-16.06666708,12.10000038,-16.90000057,26.30000019,-12.5666669,155.900002,1.083628312,0.95,-2.994558315,-3.830361817,0.306355884,0.876666673
1984,-30.30000114,-38.10000229,-26.5,-17.5,-2.700000048,8.400000572,10.19999981,7.900000095,1.899999976,11.5,1.5,1.5,3.700000048,13.60000038,13.60000038,64.20000458,38.60000229,29.70000076,-17.5,-2.700000048,8.400000572,10.19999981,7.900000095,1.899999976,-8.199999809,-21.70000076,-33.90000153,3.700000048,13.60000038,13.60000038,64.20000458,38.60000229,29.70000076,18.80000114,13.30000019,11.60000038,84,-14.066667,43.00000143,-31.73333486,41,8.833333492,116.4000073,9.433333397,57.80000019,-15.56666668,18.80000043,-16.06666708,12.10000038,-12.54166709,221.6000101,0.964970579,1.366666667,-0.391384347,-2.994558315,0.51085302,0.306355884
1985,-30.10000038,-25.89999962,-29.80000114,-19.80000114,-6.300000191,6.900000095,12.40000057,6.700000286,0.600000024,11.69999981,11.30000019,3.299999952,3.600000143,3.799999952,15.10000038,27.20000076,28.20000076,15.5,-19.80000114,-6.300000191,6.900000095,12.40000057,6.700000286,0.600000024,-13.19999981,-19.60000038,-27.80000114,3.600000143,3.799999952,15.10000038,27.20000076,28.20000076,15.5,10.60000038,22.60000038,9.300000191,85,-9.333333531,61.80000209,-29.96666718,34.60000038,8.666666984,70.5000019,8.833333492,116.4000073,-18.63333416,10.70000005,-15.56666668,18.80000043,-12.15833357,162.2000029,1.69502207,1.153333346,-1.806973727,-0.391384347,0.356666668,0.51085302
1986,-35.20000076,-28.20000076,-27.89999962,-14.80000019,-2.400000095,8.800000191,9.800000191,6.800000191,0,3.400000095,8.5,5.400000095,2.400000095,12.19999981,16.80000114,38.10000229,18.20000076,23.30000114,-14.80000019,-2.400000095,8.800000191,9.800000191,6.800000191,0,-12.5,-20.5,-29.89999962,2.400000095,12.19999981,16.80000114,38.10000229,18.20000076,23.30000114,13.30000019,8.800000191,11.40000057,86,-10.73333339,48.70000076,-30.40000089,21.20000029,8.466666858,73.10000419,8.666666984,70.5000019,-15.0333333,20,-18.63333416,10.70000005,-12.16666671,161.8000064,1.312374191,0.706666676,-1.885832644,-1.806973727,0.549977735,0.356666668
1987,-30.80000114,-35.90000153,-25.30000114,-19.30000114,-3.5,7.099999905,12.80000019,8.900000572,0.400000006,10.69999981,1.300000072,5.800000191,3.100000143,6,29.70000076,9.800000191,31.5,16.60000038,-19.30000114,-3.5,7.099999905,12.80000019,8.900000572,0.400000006,-10.90000057,-28.89999962,-37.29999924,3.100000143,6,29.70000076,9.800000191,31.5,16.60000038,23.5,7.099999905,12.60000038,87,-11,45.40000152,-32.20000076,23.40000045,9.600000222,71.00000095,8.466666858,73.10000419,-16.03333409,14.90000033,-15.0333333,20,-13.55833364,157.7000018,1.275333008,0.780000015,-2.245041762,-1.885832644,0.435118281,0.549977735
1988,-30,-30.10000038,-27.60000038,-16.10000038,-4.300000191,8,13.10000038,7.300000191,2.700000048,13.5,11.40000057,0.400000006,3.400000095,2.100000143,8.300000191,34.79999924,36.5,13.69999981,-16.10000038,-4.300000191,8,13.10000038,7.300000191,2.700000048,-9.100000381,-25.89999962,-31,3.400000095,2.100000143,8.300000191,34.79999924,36.5,13.69999981,10.40000057,3.900000095,4.400000095,88,-13.13333339,47.20000029,-32.46666654,37.50000095,9.466666857,79.59999943,9.600000222,71.00000095,-16.00000032,5.900000244,-16.03333409,14.90000033,-11.91666673,142.8000008,1.286586844,1.250000032,-1.934924797,-2.245041762,0.170873796,0.435118281
